qualtrics_id,instrument,tuning_step,pct_maj,explicit_rtg
5041247779,violin,4,0.625,1
5041247779,violin,5,0.875,1
5041247779,oboe,1,0,2
5041247779,oboe,2,0,2
5041247779,oboe,3,0.125,2
5041247779,oboe,4,0.75,2
5041247779,oboe,5,0.875,2
5099255339,xylophone,1,0.25,3
5099255339,xylophone,2,0.625,3
5099255339,xylophone,3,1,3
5099255339,xylophone,4,1,3
5099255339,xylophone,5,1,3
5099255339,trumpet,1,0.5,2
5099255339,trumpet,2,0.25,2
5099255339,trumpet,3,0.625,2
5099255339,trumpet,4,1,2
5099255339,trumpet,5,1,2
5099255339,piano,1,0,3
5099255339,piano,2,0.375,3
5099255339,piano,3,0.375,3
5099255339,piano,4,1,3
5099255339,piano,5,1,3
5099255339,violin,1,0.125,2
5099255339,violin,2,0.625,2
5099255339,violin,3,0.25,2
5099255339,violin,4,0.5,2
5099255339,violin,5,1,2
5099255339,oboe,1,0,2
5099255339,oboe,2,0,2
5099255339,oboe,3,0.125,2
5099255339,oboe,4,0.625,2
5099255339,oboe,5,0.875,2
5345399037,xylophone,1,0.375,2
5345399037,xylophone,2,0.25,2
5345399037,xylophone,3,0.125,2
5345399037,xylophone,4,0.625,2
5345399037,xylophone,5,0.875,2
5345399037,trumpet,1,0.375,4
5345399037,trumpet,2,0.625,4
5345399037,trumpet,3,0.5,4
5345399037,trumpet,4,0.625,4
5345399037,trumpet,5,0.625,4
5345399037,piano,1,0.25,2
5345399037,piano,2,0.5,2
5345399037,piano,3,0.5,2
5345399037,piano,4,0.5,2
5345399037,piano,5,0.625,2
5345399037,violin,1,0.25,2
5345399037,violin,2,0.375,2
5345399037,violin,3,0.375,2
5345399037,violin,4,0.5,2
5345399037,violin,5,0.5,2
5345399037,oboe,1,0.75,1
5345399037,oboe,2,0.625,1
5345399037,oboe,3,0.375,1
5345399037,oboe,4,0.5,1
5345399037,oboe,5,0.5,1
5405144116,xylophone,1,0,2
5405144116,xylophone,2,0.5,2
